state,redcamera,speedcamera,officers,party,drivers
Alabama,limit,no,10775,republican,3859403
Alaska,no,no,1285,republican,528873
Arizona,yes,yes,12069,republican,4791450
Arkansas,limit,no,5763,republican,2097201
California,yes,no,77584,democrat,24390236
Colorado,yes,limit,11255,democrat,3837488
Connecticut,no,no,8355,democrat,2534090
Delaware,yes,no,2274,democrat,723657
District of Columbia,yes,yes,4315,democrat,405555
Florida,yes,no,44613,republican,13670441
Georgia,yes,no,25332,republican,6607016
Hawaii,no,no,2960,democrat,915033
Idaho,no,no,2759,republican,1111485
Illinois,limit,limit,33080,democrat,8261582
Indiana,no,no,10639,republican,4500403
Iowa,no,no,5076,republican,2143665
Kansas,no,no,6594,republican,2017759
Kentucky,no,no,7045,republican,3019283
Louisiana,yes,yes,15572,republican,3278143
Maine,no,no,2257,democrat,1011385
Maryland,yes,yes,15452,democrat,4140105
Massachusetts,no,no,16325,democrat,4765586
Michigan,no,no,17688,republican,6986587
Minnesota,no,no,8789,democrat,3330725
Mississippi,no,no,4036,republican,1968907
Missouri,no,no,14486,republican,4280438
Montana,no,no,1907,republican,766716
Nebraska,no,no,3536,republican,1374529
Nevada,yes,no,4829,democrat,1756095
New Hampshire,no,no,2634,democrat,1061433
New Jersey,no,no,28557,democrat,6081386
New Mexico,limit,limit,4504,democrat,1456500
New York,limit,limit,60938,democrat,11210783
North Carolina,limit,no,23077,republican,6822902
North Dakota,no,no,1360,republican,513838
Ohio,limit,limit,21620,republican,8030421
Oklahoma,no,no,7739,republican,2418307
Oregon,yes,limit,6112,democrat,2773373
Pennsylvania,limit,no,25804,republican,8896590
Rhode Island,yes,no,2490,democrat,749232
South Carolina,no,no,11590,republican,3536404
South Dakota,no,no,1543,republican,603643
Tennessee,yes,yes,16095,republican,4605100
Texas,no,no,55386,republican,15447273
Utah,no,no,4813,republican,1661219
Vermont,no,no,1147,democrat,543057
Virginia,limit,no,18352,democrat,5602765
Washington,limit,limit,10267,democrat,5301630
West Virginia,no,no,3440,republican,1177136
Wisconsin,no,no,12806,republican,4171427
Wyoming,no,no,1536,republican,421473
